"filename", "language", "Properties", "JSON", "Markdown", "JSON with Comments", "TypeScript", "HTML", "SCSS", "TypeScript JSX", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\aboutMeItem\IAboutMeItemProps.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\certificates\Certificates.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\certificates\Certificates.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\certificates\ICertificatesProps.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\education\Education.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\education\Education.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\education\IEducationProps.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\languages\ILanguagesProps.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\languages\Languages.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\languages\Languages.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\professionalExperience\IProfessionalExperienceProps.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\professionalExperience\ProfessionalExperience.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 34
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\professionalExperience\ProfessionalExperience.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 27, 6, 61
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\background\Background.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\background\Background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\banner\Banner.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 3, 50, 282
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\banner\Banner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 4, 69
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\burgerMenu\BurgerMenu.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 6, 51
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\burgerMenu\BurgerMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\burgerMenu\IBurgerMenuProps.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\buyMeACoffeeLink\BuyMeACoffeeLink.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\buyMeACoffeeLink\BuyMeACoffeeLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\buyMeACoffeeLink\IBuyMeACoffeeLinkProps.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\footer\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
